_source,_record,kind,system,R,basis,nao,E,converged,wall_s,phase,M,seed,peak_gpu_mb,peak_train_mb,E_grid5,grid_bias_mha,steps,mol
exp3_lih_dissociation,RESULT,gto,lif,1.50000000,cc-pvdz,28,-107.29989373,True,19.92000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.50000000,cc-pvqz,110,-107.35331767,True,36.23000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.50000000,cc-pvtz,60,-107.34069965,True,31.20000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.55000000,cc-pvdz,28,-107.30245985,True,11.71000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.55000000,cc-pvqz,110,-107.35504625,True,21.15000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.55000000,cc-pvtz,60,-107.34286853,True,18.54000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.60000000,cc-pvdz,28,-107.30284781,True,11.65000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.60000000,cc-pvqz,110,-107.35506568,True,21.02000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.60000000,cc-pvtz,60,-107.34339677,True,18.53000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.65000000,cc-pvdz,28,-107.30161237,True,11.66000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.65000000,cc-pvqz,110,-107.35378885,True,21.24000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.65000000,cc-pvtz,60,-107.34258403,True,18.53000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.70000000,cc-pvdz,28,-107.29927510,True,11.63000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.70000000,cc-pvqz,110,-107.35160056,True,21.03000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.70000000,cc-pvtz,60,-107.34067446,True,18.17000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.75000000,cc-pvdz,28,-107.29611554,True,11.73000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.75000000,cc-pvqz,110,-107.34869815,True,21.05000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lif,1.75000000,cc-pvtz,60,-107.33788451,True,18.32000000,,,,,,,,,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.35503318,,126,cold,60,0,530,341,-107.35544635,0.41317135,,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.35668000,,100,cold,60,1,208,208,-107.35712038,0.44038081,,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.35561744,,101,cold,60,2,208,208,-107.35599049,0.37304575,,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35698280,,102,cold,60,0,208,208,-107.35711754,0.13474055,,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35787014,,101,cold,60,1,208,208,-107.35804752,0.17737712,,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35802401,,101,cold,60,2,208,208,-107.35823634,0.21232613,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35662856,,101,cold,60,0,208,208,-107.35658764,-0.04092075,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35568068,,101,cold,60,1,208,208,-107.35563534,-0.04533544,,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35834984,,101,cold,60,2,208,208,-107.35838278,0.03294276,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35472855,,102,cold,60,0,208,208,-107.35468049,-0.04805283,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35622106,,101,cold,60,1,208,208,-107.35615012,-0.07094796,,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35736008,,100,cold,60,2,208,208,-107.35730234,-0.05774322,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35247695,,101,cold,60,0,208,208,-107.35243193,-0.04502391,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35211491,,102,cold,60,1,208,208,-107.35204120,-0.07370582,,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35517861,,99,cold,60,2,208,208,-107.35510538,-0.07322910,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.34929700,,99,cold,60,0,208,208,-107.34931466,0.01766524,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35121687,,99,cold,60,1,208,208,-107.35120974,-0.00713342,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35156837,,99,cold,60,2,208,208,-107.35153488,-0.03348761,,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.33004196,,53,warm,60,0,,,-107.33004009,-0.00186469,4000,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.34747094,,20,warm,60,0,,,-107.34741983,-0.05111314,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35469073,,20,warm,60,0,,,-107.35464614,-0.04458756,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35630819,,20,warm,60,0,,,-107.35630844,0.00024738,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35653167,,20,warm,60,0,,,-107.35668332,0.15165641,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.35509088,,20,warm,60,0,,,-107.35551548,0.42459870,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.33338640,,69,warm,60,0,,,-107.33377248,0.38608360,4000,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35093921,,35,warm,60,0,,,-107.35103431,0.09510209,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35489578,,20,warm,60,0,,,-107.35488333,-0.01245131,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35596331,,20,warm,60,0,,,-107.35592761,-0.03569293,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35415504,,20,warm,60,0,,,-107.35413271,-0.02233178,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35159088,,19,warm,60,0,,,-107.35163037,0.03948802,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.32543643,,51,warm,60,1,,,-107.32542443,-0.01199353,4000,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.33820131,,20,warm,60,1,,,-107.33816708,-0.03423720,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.35092593,,20,warm,60,1,,,-107.35086641,-0.05951943,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35510190,,20,warm,60,1,,,-107.35509009,-0.01181433,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35807280,,20,warm,60,1,,,-107.35821974,0.14694149,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.35756517,,20,warm,60,1,,,-107.35798206,0.41689243,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.50000000,,,-107.32864338,,52,warm,60,1,,,-107.32906245,0.41907126,4000,
exp3_lih_dissociation,RESULT,splat,lif,1.55000000,,,-107.35146263,,20,warm,60,1,,,-107.35161543,0.15279347,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.60000000,,,-107.35776530,,20,warm,60,1,,,-107.35781176,0.04645774,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.65000000,,,-107.36025212,,20,warm,60,1,,,-107.36028175,0.02962953,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.70000000,,,-107.35515004,,20,warm,60,1,,,-107.35508099,-0.06905037,2000,
exp3_lih_dissociation,RESULT,splat,lif,1.75000000,,,-107.35273729,,20,warm,60,1,,,-107.35270523,-0.03206059,2000,
exp3_lih_dissociation,RESULT,gto,,1.000,aug-cc-pvdz,32,-7.9468491194,True,2.65,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.000,cc-pvdz,19,-7.9457057211,True,1.83,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.300,aug-cc-pvdz,32,-8.0264886526,True,2.64,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.300,cc-pvdz,19,-8.0255719883,True,1.71,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.600,aug-cc-pvdz,32,-8.0426562521,True,2.64,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.600,cc-pvdz,19,-8.0419767336,True,1.69,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.000,aug-cc-pvdz,32,-8.0321840732,True,2.69,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.000,cc-pvdz,19,-8.0316057645,True,1.77,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.500,aug-cc-pvdz,32,-8.0073194651,True,3.36,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.500,cc-pvdz,19,-8.0065085522,True,2.14,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.000,aug-cc-pvdz,32,-7.9843332132,True,4.39,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.000,cc-pvdz,19,-7.9831323017,True,2.51,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvdz,32,-7.9666904027,True,5.16,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvdz,19,-7.9649521694,True,3.45,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.000,aug-cc-pvdz,32,-7.9540163029,True,6.11,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.000,cc-pvdz,19,-7.9516606356,True,2.49,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvdz,32,-7.9451986558,True,4.68,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvdz,19,-7.9422338805,True,3.75,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,5.000,aug-cc-pvdz,32,-7.9391838129,True,6.17,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,5.000,cc-pvdz,19,-7.9356894559,True,3.55,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvdz,32,-7.9324163288,True,56.65,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvdz,19,-7.8908315086,True,35.59,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.00000000,aug-cc-pvdz,32,-7.94685707,True,8.11000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.00000000,cc-pvdz,19,-7.94587218,True,8.74000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.30000000,aug-cc-pvdz,32,-8.02650093,True,3.04000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.30000000,cc-pvdz,19,-8.02572726,True,2.89000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.60000000,aug-cc-pvdz,32,-8.04265472,True,3.06000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.60000000,cc-pvdz,19,-8.04207188,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,2.00000000,aug-cc-pvdz,32,-8.03218434,True,3.07000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,2.00000000,cc-pvdz,19,-8.03164998,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,2.50000000,aug-cc-pvdz,32,-8.00733969,True,3.06000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,2.50000000,cc-pvdz,19,-8.00654190,True,2.84000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,3.00000000,aug-cc-pvdz,32,-7.98437501,True,3.10000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,3.00000000,cc-pvdz,19,-7.98317517,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,3.50000000,aug-cc-pvdz,32,-7.96675360,True,3.08000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,3.50000000,cc-pvdz,19,-7.96501137,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,4.00000000,aug-cc-pvdz,32,-7.95409705,True,3.19000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,4.00000000,cc-pvdz,19,-7.95172749,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,4.50000000,aug-cc-pvdz,32,-7.94529398,False,3.42000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,4.50000000,cc-pvdz,19,-7.94229400,True,2.80000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,5.00000000,aug-cc-pvdz,32,-7.93928905,True,3.16000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,5.00000000,cc-pvdz,19,-7.93573623,False,3.12000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,6.00000000,aug-cc-pvdz,32,-7.93252373,False,3.45000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,6.00000000,cc-pvdz,19,-7.92819123,False,3.14000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,lih,1.00000000,aug-cc-pvdz,32,-7.94685707,True,8.11000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.000,aug-cc-pvqz,126,-7.9530883293,True,4.46,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.000,aug-cc-pvtz,69,-7.9518964594,True,3.91,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,1.00000000,cc-pvdz,19,-7.94587218,True,8.74000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.000,cc-pvqz,85,-7.9529309908,True,4.90,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.000,cc-pvtz,44,-7.9515183773,True,3.25,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,1.30000000,aug-cc-pvdz,32,-8.02650093,True,3.04000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.300,aug-cc-pvqz,126,-8.0314517471,True,6.66,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.300,aug-cc-pvtz,69,-8.0305637369,True,2.94,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,1.30000000,cc-pvdz,19,-8.02572726,True,2.89000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.300,cc-pvqz,85,-8.0311635008,True,3.04,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.300,cc-pvtz,44,-8.0301224216,True,2.77,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,1.60000000,aug-cc-pvdz,32,-8.04265472,True,3.06000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.600,aug-cc-pvqz,126,-8.0468084962,True,6.33,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.600,aug-cc-pvtz,69,-8.0460240099,True,4.39,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,1.60000000,cc-pvdz,19,-8.04207188,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,1.600,cc-pvqz,85,-8.0464140872,True,4.80,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.600,cc-pvtz,44,-8.0455352338,True,4.40,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,2.00000000,aug-cc-pvdz,32,-8.03218434,True,3.07000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.000,aug-cc-pvqz,126,-8.0351893087,True,5.99,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,2.000,aug-cc-pvtz,69,-8.0345091490,True,3.65,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,2.00000000,cc-pvdz,19,-8.03164998,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.000,cc-pvqz,85,-8.0350353400,True,7.97,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,2.000,cc-pvtz,44,-8.0341283969,True,6.42,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,2.50000000,aug-cc-pvdz,32,-8.00733969,True,3.06000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.500,aug-cc-pvqz,126,-8.0095686060,True,8.56,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,2.500,aug-cc-pvtz,69,-8.0090871425,True,4.41,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,2.50000000,cc-pvdz,19,-8.00654190,True,2.84000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,2.500,cc-pvqz,85,-8.0093510814,True,5.08,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,2.500,cc-pvtz,44,-8.0086641306,True,4.17,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,3.00000000,aug-cc-pvdz,32,-7.98437501,True,3.10000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.000,aug-cc-pvqz,126,-7.9863401746,True,13.24,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,3.000,aug-cc-pvtz,69,-7.9859796761,True,5.97,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,3.00000000,cc-pvdz,19,-7.98317517,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.000,cc-pvqz,85,-7.9860791857,True,7.67,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,3.000,cc-pvtz,44,-7.9854026242,True,4.36,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,3.50000000,aug-cc-pvdz,32,-7.96675360,True,3.08000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvqz,126,-7.9686307890,True,11.52,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvtz,69,-7.9682609552,True,5.96,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,3.50000000,cc-pvdz,19,-7.96501137,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvqz,85,-7.9682833284,True,10.09,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvtz,44,-7.9675305339,True,9.91,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,4.00000000,aug-cc-pvdz,32,-7.95409705,True,3.19000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.000,aug-cc-pvqz,126,-7.9559664238,True,14.55,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,4.000,aug-cc-pvtz,69,-7.9555884572,True,7.48,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,4.00000000,cc-pvdz,19,-7.95172749,True,2.83000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.000,cc-pvqz,85,-7.9554950581,True,13.21,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,4.000,cc-pvtz,44,-7.9546362133,True,10.55,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,4.50000000,aug-cc-pvdz,32,-7.94529398,False,3.42000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvqz,126,-7.9471684499,True,14.73,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvtz,69,-7.9467997145,True,8.10,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,4.50000000,cc-pvdz,19,-7.94229400,True,2.80000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvqz,85,-7.9465754378,True,12.47,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvtz,44,-7.9455926799,True,13.56,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,5.00000000,aug-cc-pvdz,32,-7.93928905,True,3.16000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,5.000,aug-cc-pvqz,126,-7.9411716164,True,22.70,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,5.000,aug-cc-pvtz,69,-7.9408002088,True,36.62,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,5.00000000,cc-pvdz,19,-7.93573623,False,3.12000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,5.000,cc-pvqz,85,-7.9404545323,True,64.99,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,5.000,cc-pvtz,44,-7.9393486484,True,15.19,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,6.00000000,aug-cc-pvdz,32,-7.93252373,False,3.45000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvqz,126,-7.5974645665,True,185.14,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvtz,69,-7.8700677966,True,101.43,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,lih,6.00000000,cc-pvdz,19,-7.92819123,False,3.14000000,,,,,,,,,
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvqz,85,-7.5833464186,True,116.80,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvtz,44,-7.9321998999,True,33.06,,,,,,,,,lih
exp3_lih_dissociation,RESULT,gto,,1.200,aug-cc-pvdz,46,-107.2288325100,True,3.19,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,aug-cc-pvqz,160,-107.2771390196,True,7.32,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,aug-cc-pvtz,92,-107.2649176002,True,3.63,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,cc-pvdz,28,-107.2000311571,True,1.93,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,cc-pvqz,110,-107.2763845674,True,8.69,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,cc-pvtz,60,-107.2606951863,True,3.06,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,aug-cc-pvdz,46,-107.3144057596,True,2.94,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,aug-cc-pvqz,160,-107.3545262635,True,11.85,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,aug-cc-pvtz,92,-107.3446303400,True,4.69,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,cc-pvdz,28,-107.2995454513,True,1.56,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,cc-pvqz,110,-107.3535416227,True,7.21,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.500,cc-pvtz,60,-107.3410124587,True,3.00,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,aug-cc-pvdz,46,-107.3096031936,True,3.05,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,aug-cc-pvqz,160,-107.3466298013,True,8.77,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,aug-cc-pvtz,92,-107.3379693219,True,7.25,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,cc-pvdz,28,-107.2915194242,True,1.70,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,cc-pvqz,110,-107.3451036419,True,11.51,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.800,cc-pvtz,60,-107.3335720722,True,3.20,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,aug-cc-pvdz,46,-107.2777331305,True,3.31,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,aug-cc-pvqz,160,-107.3127113909,True,12.75,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,aug-cc-pvtz,92,-107.3045390591,True,5.99,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,cc-pvdz,28,-107.2527780074,True,1.63,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,cc-pvqz,110,-107.3099017847,True,6.80,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.200,cc-pvtz,60,-107.2975058378,True,3.29,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,aug-cc-pvdz,46,-107.2323203038,True,3.35,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,aug-cc-pvqz,160,-107.2659865939,True,9.93,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,aug-cc-pvtz,92,-107.2582790348,True,8.35,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,cc-pvdz,28,-107.1973378037,True,2.43,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,cc-pvqz,110,-107.2606646403,True,11.02,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,2.800,cc-pvtz,60,-107.2462911523,True,3.87,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvdz,46,-107.1960778718,True,5.17,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvqz,160,-107.2295315129,True,18.06,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,aug-cc-pvtz,92,-107.2217700264,True,13.08,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvdz,28,-106.0400875712,False,0.0,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvqz,110,-107.2219869321,True,13.31,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,3.500,cc-pvtz,60,-107.2057563093,True,7.22,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvdz,46,-107.1684635349,True,59.73,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvqz,160,-107.2019275279,True,200.30,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,aug-cc-pvtz,92,-107.1941568240,True,142.33,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvdz,28,-107.1218102735,True,39.27,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvqz,110,-107.1925453008,True,194.78,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,4.500,cc-pvtz,60,-107.1751267123,True,66.73,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvdz,46,-107.1511108649,True,63.54,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvqz,160,-107.1527258832,True,266.11,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,aug-cc-pvtz,92,-106.5009865342,True,127.71,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvdz,28,-107.1055486956,True,45.19,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvqz,110,-106.4732202464,True,194.65,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,6.000,cc-pvtz,60,-107.1577157354,True,63.42,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,aug-cc-pvdz,46,-107.2288325100,True,3.19,,,,,,,,,lif
exp3_lih_dissociation,RESULT,gto,,1.200,cc-pvdz,28,-107.2000311571,True,1.93,,,,,,,,,lif
